644,2016_344,403648
700,2016_998,403461
65,2010_476,403435
658,2016_555,402522
129,2011_180,402039
448,2014_403,401450
234,2012_229,400065
748,2017_356,399728
548,2015_396,399345
284,2012_619,398091
552,2015_521,397392
892,2018_899,396624
47,2010_351,396567
579,2015_767,395010
463,2014_601,394841
90,2010_595,394786
104,2011_021,394282
591,2015_891,391638
672,2016_695,391572
183,2011_575,391046
789,2017_754,390546
607,2016_070,390411
391,2013_778,390071
562,2015_558,390055
583,2015_824,389928
814,2018_1034,389776
62,2010_458,387560
348,2013_371,387549
355,2013_430,387250
168,2011_487,386984
550,2015_441,386369
141,2011_271,385923
541,2015_248,385911
349,2013_375,385841
558,2015_538,384476
268,2012_507,383345
198,2011_705,381292
330,2013_251,380437
727,2017_1226,379733
470,2014_721,379630
438,2014_318,379160
95,2010_637,378026
544,2015_341,377714
458,2014_529,377463
123,2011_164,377040
425,2014_169,376643
813,2018_1020,376291
157,2011_383,375793
413,2014_077,375557
756,2017_427,375043
152,2011_343,374231
506,2015_095,374136
185,2011_583,373185
741,2017_290,372819
764,2017_481,372302
46,2010_345,372007
612,2016_1023,370980
593,2015_943,370537
768,2017_523,370236
513,2015_1058,369996
775,2017_625,369571
694,2016_956,369425
241,2012_268,367929
246,2012_316,365741
783,2017_679,365587
295,2012_706,364300
106,2011_038,364253
192,2011_680,362382
633,2016_193,361275
31,2010_266,361207
140,2011_267,360921
460,2014_557,360645
795,2017_907,360527
418,2014_1011,359788
77,2010_522,359595
437,2014_308,358502
96,2010_638,358269
12,2010_099,358181
178,2011_555,355813
432,2014_256,354657
44,2010_342,354354
852,2018_312,353308
809,2018_091,352187
670,2016_688,351736
110,2011_089,351474
688,2016_903,351250
504,2015_039,351090
617,2016_1079,350932
420,2014_1023,349562
530,2015_152,348737
486,2014_852,348558
647,2016_369,348558
315,2013_139,347600
429,2014_206,347187
257,2012_435,346606
620,2016_1091,346373
471,2014_732,345404
877,2018_591,344957
397,2013_819,344801
447,2014_398,344107
382,2013_672,343963
453,2014_449,343688
841,2018_216,342658
393,2013_791,342519
124,2011_165,341653
358,2013_503,341418
466,2014_674,339916
553,2015_524,339600
869,2018_471,339586
614,2016_1039,338816
136,2011_238,338426
709,2017_095,338212
138,2011_253,338011
286,2012_629,337404
93,2010_631,336584
482,2014_804,336034
510,2015_1022,334489
224,2012_158,334307
307,2013_070,333257
194,2011_686,332047
826,2018_1219,331803
76,2010_517,331470
187,2011_622,330523
600,2015_996,330349
803,2018_005,329470
70,2010_496,329321
650,2016_393,327926
30,2010_254,326943
857,2018_366,326467
45,2010_344,325716
640,2016_275,325661
155,2011_374,325272
60,2010_452,324795
327,2013_243,323900
304,2013_054,323805
849,2018_283,323758
368,2013_596,323176
543,2015_296,322666
344,2013_335,322581
858,2018_369,321503
547,2015_393,320995
490,2014_901,320874
799,2017_959,320602
94,2010_634,318909
885,2018_781,318886
825,2018_1217,318657
244,2012_288,318641
735,2017_199,318170
266,2012_502,316257
328,2013_246,316249
255,2012_400,315532
115,2011_107,315445
854,2018_325,315135
137,2011_248,314870
5,2010_049,314501
468,2014_697,313773
170,2011_497,313751
271,2012_518,313742
383,2013_684,313671
165,2011_436,313245
734,2017_196,312973
618,2016_109,312958
297,2012_710,312008
889,2018_829,311903
88,2010_578,311583
483,2014_827,309917
35,2010_292,309401
457,2014_499,309382
787,2017_719,308748
245,2012_289,308521
508,2015_1003,306822
685,2016_854,306692
293,2012_675,306220
588,2015_879,305477
334,2013_287,305304
534,2015_195,303697
15,2010_120,302606
102,2011_007,302542
212,2012_084,301761
370,2013_614,301561
772,2017_592,301398
283,2012_608,301308
329,2013_250,300904
656,2016_530,296862
217,2012_112,296343
354,2013_427,295865
554,2015_526,295340
753,2017_397,294057
314,2013_126,293838
665,2016_618,293126
419,2014_1014,292858
434,2014_271,292150
263,2012_466,291760
262,2012_460,291416
150,2011_325,291409
14,2010_117,290400
398,2013_831,289729
195,2011_696,287959
56,2010_417,287835
325,2013_233,287610
808,2018_086,287450
443,2014_358,287204
112,2011_100,287016
200,2011_712,285922
275,2012_562,285802
427,2014_183,282765
578,2015_763,282718
332,2013_266,282017
285,2012_626,281239
631,2016_138,279673
290,2012_663,275569
116,2011_111,275345
16,2010_123,274945
204,2012_014,274529
417,2014_1009,273979
608,2016_079,271876
100,2010_652,271287
53,2010_404,271149
335,2013_290,270316
777,2017_647,270191
601,2016_003,268323
347,2013_355,267596
493,2014_950,267201
705,2017_058,265624
75,2010_516,264100
442,2014_354,264023
78,2010_528,263560
216,2012_111,263346
494,2014_955,262169
108,2011_064,261417
282,2012_601,261328
164,2011_432,260959
38,2010_316,260938
259,2012_441,259159
86,2010_568,258514
190,2011_642,257924
452,2014_442,257422
92,2010_618,256736
54,2010_411,254815
296,2012_709,254322
24,2010_209,253886
13,2010_102,252723
433,2014_265,252330
605,2016_035,252159
641,2016_288,251399
863,2018_416,250583
269,2012_508,249801
203,2012_006,249493
761,2017_466,249193
91,2010_602,249055
40,2010_329,248888
692,2016_929,248351
279,2012_585,247955
280,2012_592,247527
98,2010_642,246455
17,2010_135,245818
300,2012_730,243186
119,2011_134,241736
182,2011_572,241283
175,2011_526,240503
226,2012_183,238831
693,2016_931,238144
319,2013_174,237962
310,2013_084,237349
451,2014_434,236530
55,2010_413,234269
407,2014_046,234056
371,2013_618,233373
389,2013_760,232484
72,2010_502,232275
214,2012_096,231761
11,2010_072,231646
26,2010_224,230694
881,2018_683,229634
59,2010_446,228823
509,2015_1018,227551
824,2018_1210,227169
149,2011_323,226253
147,2011_321,226185
635,2016_215,225473
222,2012_149,223197
211,2012_083,222989
484,2014_835,222777
500,2014_998,222643
827,2018_1231,221863
49,2010_353,221856
22,2010_182,221825
167,2011_471,221372
322,2013_187,221088
160,2011_392,218817
758,2017_432,218769
4,2010_031,218744
248,2012_334,218367
528,2015_1245,216359
180,2011_563,215904
240,2012_259,214305
131,2011_189,214047
800,2017_987,211521
109,2011_071,211222
82,2010_548,210732
144,2011_304,210161
423,2014_117,208300
340,2013_313,205357
265,2012_497,204407
529,2015_139,203830
373,2013_635,203726
422,2014_115,202658
380,2013_667,200713
485,2014_849,199657
357,2013_487,198260
19,2010_146,195687
163,2011_428,194937
537,2015_241,194734
232,2012_209,194327
518,2015_1114,193760
745,2017_336,191907
405,2014_035,191347
87,2010_570,191256
805,2018_059,190910
721,2017_1162,190862
249,2012_336,188664
645,2016_353,188349
659,2016_563,186559
701,2017_007,186330
487,2014_858,185482
57,2010_423,184513
199,2011_710,184028
369,2013_609,183931
28,2010_242,183927
230,2012_202,181521
6,2010_053,179796
253,2012_369,178989
733,2017_187,178947
68,2010_489,178744
74,2010_513,177988
64,2010_470,177243
97,2010_640,176086
84,2010_554,173819
50,2010_376,173658
73,2010_507,172407
34,2010_289,171621
628,2016_1183,170783
339,2013_312,170082
210,2012_075,168733
42,2010_338,165864
235,2012_246,165397
385,2013_718,164700
409,2014_051,163683
176,2011_528,163078
666,2016_627,161452
171,2011_498,159807
197,2011_704,155879
894,2018_912,152781
404,2014_034,152207
130,2011_181,151518
139,2011_263,149098
41,2010_336,147652
496,2014_972,146009
219,2012_137,144556
833,2018_174,144012
750,2017_373,143889
127,2011_169,143606
364,2013_549,141803
440,2014_322,141759
18,2010_143,141613
254,2012_396,140609
632,2016_141,137227
503,2015_037,136769
158,2011_386,136644
71,2010_498,135048
201,2012_001,134696
161,2011_396,133658
467,2014_695,130347
606,2016_039,129428
331,2013_261,127059
251,2012_338,123845
10,2010_065,121779
9,2010_061,121525
862,2018_406,118217
313,2013_111,118023
85,2010_558,116115
492,2014_949,113684
406,2014_040,112914
107,2011_062,111788
213,2012_094,110248
302,2013_041,107316
376,2013_643,103802
162,2011_424,103777
306,2013_066,98870
67,2010_480,98568
738,2017_270,97915
29,2010_243,97086
221,2012_145,95047
20,2010_151,86454
394,2013_795,86150
361,2013_540,82767
196,2011_702,78668
225,2012_166,77984
624,2016_1151,73726
48,2010_352,72560
209,2012_065,61485
396,2013_812,58655
153,2011_360,40003
